MES,Miplace Kassouf,Miplace Prime,Miplace Honor,Miplace Realme,Miplace Premium
2024-06-01,107,104,,57,
2024-07-01,113,90,132,57,
2024-08-01,107,65,155,61,
2024-09-01,106,63,139,39,
2024-10-01,98,89,176,47,
2024-11-01,129,62,242,60,
2024-12-01,115,68,271,90,23
2025-01-01,58,66,162,67,53
2025-02-01,36,47,115,39,38
2025-03-01,58,67,140,81,58
2025-04-01,42,48,136,59,55
2025-05-01,72,83,175,87,85
2025-06-01,65,77,137,54,66
2025-07-01,65,49,117,68,65
2025-08-01,67,47,110,52,67
2025-09-01,46,43,136,74,70
2025-10-01,65,57,114,78,67
2025-11-01,65,56,152,81,66
2025-12-01,46,56,151,55,67
2026-01-01,66,35,118,55,41
2026-02-01,70,43,83,51,38
2026-03-01,43,65,114,46,69
2026-04-01,36,53,114,46,65
2026-05-01,38,47,103,54,65
